,Reference,IncidentID,TotalConfirmedPowercut,PowercutCategory,ElapsedTime,EstimatedTimeTillResolution,LoggedTime,NatureOfOutage,TotalPredictedPowercut,Priority,Type,CustomerStageSequence,IncidentStatus,InsertDate,UpdateDate,Reason,CustomerStageSequenceMessage,Postcode,Area,Lat,Lng,IsAffected,ID,Label,IncidentsConfigId,CustomETRMessageFlag,CustomETRMessage,CustomETRMessagePArea,ConfigStatus,IsCustomIncident,ManageCustomIncidentsId
0,INCD-384526-A,A0005de0eINCD,0,LV Restoration,0d 3:7,1900-01-01T00:00:00,2023-03-30T08:47:00Z,Localised Fault,4,3,LV,4,6,2023-03-30T08:50:40Z,2023-03-30T12:00:20Z,"The power cut affecting your property has been caused by an unexpected problem with the cables or equipment that serve your area. If you need to report an emergency, please call 105",Our team are working hard to restore your power as quickly as possible,DN19 7LP,Yorkshire,53.6642,-0.339125,0,1725450,,0,False,,,False,False,0
1,INCD-384522-A,A0005de0aINCD,1,U/G LV Mains Repair (Other),0d 5:17,2023-03-30T16:00:00Z,2023-03-30T08:27:00Z,Localised Fault,11,3,LV,4,5,2023-03-30T08:30:39Z,2023-03-30T13:45:29Z,"The power cut affecting your property has been caused by an unexpected problem with the cables or equipment that serve your area. If you need to report an emergency, please call 105",Our team are working hard to restore your power as quickly as possible,WF1  1XQ,Yorkshire,53.6822,-1.50178,1,1725357,,0,False,,,False,False,0
2,INCD-384522-A,A0005de0aINCD,1,U/G LV Mains Repair (Other),0d 5:17,2023-03-30T16:00:00Z,2023-03-30T08:27:00Z,Localised Fault,11,3,LV,4,5,2023-03-30T08:30:39Z,2023-03-30T13:45:29Z,"The power cut affecting your property has been caused by an unexpected problem with the cables or equipment that serve your area. If you need to report an emergency, please call 105",Our team are working hard to restore your power as quickly as possible,WF1  1XJ,Yorkshire,53.6824,-1.50159,1,1725357,,0,False,,,False,False,0
3,INCD-384522-A,A0005de0aINCD,1,U/G LV Mains Repair (Other),0d 5:17,2023-03-30T16:00:00Z,2023-03-30T08:27:00Z,Localised Fault,11,3,LV,4,5,2023-03-30T08:30:39Z,2023-03-30T13:45:29Z,"The power cut affecting your property has been caused by an unexpected problem with the cables or equipment that serve your area. If you need to report an emergency, please call 105",Our team are working hard to restore your power as quickly as possible,WF1  2TE,Yorkshire,53.6824,-1.50289,1,1725357,,0,False,,,False,False,0
4,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EG,Yorkshire,53.7107,-1.6712,0,1725312,,0,False,,,False,False,0
5,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EH,Yorkshire,53.7116,-1.67113,0,1725312,,0,False,,,False,False,0
6,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EJ,Yorkshire,53.7118,-1.66966,0,1725312,,0,False,,,False,False,0
7,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9ED,Yorkshire,53.71,-1.67098,0,1725312,,0,False,,,False,False,0
8,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EY,Yorkshire,53.7126,-1.67253,0,1725312,,0,False,,,False,False,0
9,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EN,Yorkshire,53.7114,-1.67157,0,1725312,,0,False,,,False,False,0
10,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9ES,Yorkshire,53.711,-1.67221,0,1725312,,0,False,,,False,False,0
11,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EF,Yorkshire,53.71,-1.67057,0,1725312,,0,False,,,False,False,0
12,INCD-28701-B,B0000701dINCD,13,Safety Interruption,0d 3:32,2023-03-30T13:00:00Z,2023-03-30T08:17:00Z,Localised Fault,0,3,LV,3,6,2023-03-30T08:20:31Z,2023-03-30T11:55:13Z,We've had to switch off the power for safety purposes whilst our engineers work on the cables and equipment that serves your area. We appreciate your patience and understanding,Our engineers are currently travelling to the area,WF16 9EQ,Yorkshire,53.7113,-1.67142,0,1725312,,0,False,,,False,False,0
13,INCD-384505-A,A0005ddf9INCD,30,U/G LV Mains Repair (Other),0d 10:25,2023-03-30T13:15:00Z,2023-03-30T02:34:00Z,Localised Fault,0,3,LV,7,6,2023-03-30T02:50:56Z,2023-03-30T13:05:03Z,"The power cut affecting your property has been caused by an unexpected problem with the cables or equipment that serve your area. If you need to report an emergency, please call 105",We have restored power to some of the customers affected and continue to work to restore supply to the remaining customers,SR8  2AT,North East,54.7652,-1.34358,0,1723838,,0,False,,,False,False,0
