"accident_reference","longitude","latitude","police_force","date","local_authority_district","accident_severity","weather_conditions","road_surface_conditions"
"100917573","-1.807653","55.314786",10,"10/01/2020",139,"Slight",1,4
"100918846","-1.514656","54.997993",10,"13/01/2020",148,"Slight",8,4
"100918863","-1.880238","55.477587",10,"13/01/2020",139,"Slight",8,4
"100918874","-1.783563","55.282783",10,"13/01/2020",139,"Slight",8,4
"100924409","-2.004797","55.761889",10,"12/01/2020",139,"Serious",8,4
"100925419","-1.717587","55.408914",10,"19/01/2020",139,"Slight",1,4
"100931527","-2.146891","55.149933",10,"14/02/2020",139,"Slight",1,4
"100933556","-1.527834","54.995277",10,"24/02/2020",148,"Slight",6,4
"100934415","-1.48854","55.019831",10,"25/02/2020",148,"Slight",1,4
"100936005","-1.614097","55.088497",10,"03/03/2020",139,"Slight",1,4
"101010084","-1.590876","55.031881",10,"25/12/2020",148,"Slight",1,4
"101010668","-1.449159","55.000294",10,"24/12/2020",148,"Serious",5,4
"101010812","-1.717194","55.410917",10,"30/12/2020",139,"Slight",1,4
"101011046","-1.637466","54.939578",10,"30/12/2020",146,"Slight",3,4
"101011057","-1.889352","55.437305",10,"30/12/2020",139,"Slight",1,4
"101011278","-1.606812","54.974808",10,"30/12/2020",147,"Slight",1,4
"101027173","-1.557521","55.129883",10,"31/12/2020",139,"Slight",3,4
"110921350","-1.479695","54.74915",11,"20/01/2020",169,"Slight",1,4
"110922321","-1.554843","54.785773",11,"23/01/2020",169,"Fatal",1,4
"110927234","-1.596717","54.624636",11,"05/02/2020",169,"Slight",1,4
"110929786","-1.351637","54.783213",11,"07/02/2020",169,"Serious",7,4
"110935169","-1.500192","54.746217",11,"26/02/2020",169,"Slight",1,4
"110938868","-1.59018","54.521212",11,"05/03/2020",161,"Slight",1,4
"110939031","-1.572594","54.517206",11,"26/02/2020",161,"Slight",1,4
"110940831","-1.989423","54.831869",11,"19/02/2020",169,"Slight",8,4
"111010289","-1.429474","54.642603",11,"28/12/2020",169,"Fatal",1,4
"170H10170","-1.234943","54.687535",17,"26/02/2020",240,"Slight",1,4
"170M20360","-1.189734","54.54825",17,"06/02/2020",243,"Slight",1,4
"170M20660","-1.199055","54.566503",17,"27/03/2020",243,"Slight",1,4
"170M30420","-1.245503","54.517703",17,"25/02/2020",243,"Serious",1,4
"170S20580","-1.245634","54.597815",17,"27/03/2020",245,"Slight",7,4
"100353289","-1.763927","55.604523",10,"03/01/2019",139,"Slight",1,4
"100355238","-1.699136","55.35324",10,"17/01/2019",139,"Slight",8,4
"100355333","-1.757713","55.274935",10,"17/01/2019",139,"Serious",8,4
"100809522","-1.532075","55.002985",10,"21/01/2019",148,"Serious",8,4
"100809773","-1.549409","55.043759",10,"18/01/2019",148,"Slight",4,4
"100809987","-2.042989","55.771495",10,"22/01/2019",139,"Slight",1,4
"100811767","-1.51906","54.943383",10,"30/01/2019",146,"Slight",9,4
"100812385","-1.529828","54.906159",10,"01/02/2019",150,"Serious",8,4
"100812389","-1.40708","54.897139",10,"01/02/2019",150,"Slight",3,4
"100812507","-1.481281","54.995663",10,"01/02/2019",148,"Slight",3,4
"100812524","-1.471635","54.840886",10,"01/02/2019",150,"Slight",3,4
"100813429","-1.908951","55.000803",10,"05/02/2019",139,"Slight",1,4
"100822096","-2.008159","55.542509",10,"10/03/2019",139,"Slight",1,4
"100829141","-1.549317","55.043642",10,"03/04/2019",148,"Slight",3,4
"100829258","-1.726679","55.278922",10,"04/04/2019",139,"Fatal",3,4
"100896552","-2.408894","54.993076",10,"08/11/2019",139,"Slight",1,4
"100898429","-2.037177","55.294209",10,"13/11/2019",139,"Serious",1,4
"100904103","-1.734656","54.971667",10,"30/11/2019",146,"Slight",1,4
"100904363","-1.891671","55.009029",10,"29/11/2019",139,"Slight",8,4
