"accident_reference","longitude","latitude","police_force","date","local_authority_district","accident_severity","weather_conditions","road_surface_conditions"
"100924409","-2.004797","55.761889",10,"12/01/2020",139,"Serious",8,4
"101010668","-1.449159","55.000294",10,"24/12/2020",148,"Serious",5,4
"110929786","-1.351637","54.783213",11,"07/02/2020",169,"Serious",7,4
"170M30420","-1.245503","54.517703",17,"25/02/2020",243,"Serious",1,4
"100355333","-1.757713","55.274935",10,"17/01/2019",139,"Serious",8,4
"100809522","-1.532075","55.002985",10,"21/01/2019",148,"Serious",8,4
"100812385","-1.529828","54.906159",10,"01/02/2019",150,"Serious",8,4
"100898429","-2.037177","55.294209",10,"13/11/2019",139,"Serious",1,4
"100908676","-1.504287","54.993323",10,"19/11/2019",148,"Serious",8,4
"110812708","-1.783204","54.814827",11,"23/01/2019",169,"Serious",1,4
"110819147","-1.820869","54.848003",11,"21/01/2019",169,"Serious",1,4
"110826634","-1.745993","54.713774",11,"31/01/2019",169,"Serious",1,4
"110907888","-1.558702","54.864238",11,"04/12/2019",169,"Serious",1,4
"170H11059","-1.216122","54.686157",17,"01/12/2019",240,"Serious",1,4
"100259031","-2.149609","55.709576",10,"17/01/2018",139,"Serious",3,4
"100260286","-1.94275","54.87783",10,"19/01/2018",139,"Serious",3,4
"100268693","-1.845372","55.209221",10,"15/02/2018",139,"Serious",1,4
"100275471","-1.768876","55.084395",10,"09/03/2018",139,"Serious",1,4
"100277102","-1.752943","55.044008",10,"18/03/2018",139,"Serious",1,4
"100339375","-1.456226","54.896066",10,"29/10/2018",150,"Serious",8,4
"100339397","-1.806164","55.581388",10,"28/10/2018",139,"Serious",3,4
"100339663","-1.54862","55.04301",10,"28/10/2018",148,"Serious",7,4
"100339694","-1.63857","54.989185",10,"29/10/2018",147,"Serious",1,4
"100341071","-1.821604","54.996061",10,"29/10/2018",139,"Serious",1,4
"100348775","-2.210684","55.240874",10,"05/12/2018",139,"Serious",2,4
"100348824","-1.681377","55.420336",10,"05/12/2018",139,"Serious",2,4
"100352646","-1.57848","54.905223",10,"25/12/2018",146,"Serious",1,4
"110341900","-1.539297","54.708727",11,"31/10/2018",169,"Serious",1,4
"100145377","-1.978195","55.130916",10,"14/01/2017",139,"Serious",1,4
"100154844","-1.909529","55.224417",10,"10/02/2017",139,"Serious",3,4
"100159224","-1.759255","55.241242",10,"01/03/2017",139,"Serious",1,4
"100247470","-1.471354","55.014842",10,"09/12/2017",148,"Serious",1,4
"100248031","-1.534428","55.000955",10,"11/12/2017",148,"Serious",3,4
"100251164","-1.722242","55.025475",10,"15/12/2017",147,"Serious",2,4
"100252057","-1.978017","55.318582",10,"27/12/2017",139,"Serious",1,4
"110162424","-1.573351","54.561738",11,"14/02/2017",161,"Serious",1,4
"110248869","-1.520851","54.54312",11,"01/12/2017",161,"Serious",3,4
"110259899","-1.437817","54.680296",11,"15/12/2017",169,"Serious",1,4
"110260016","-1.536499","54.651884",11,"16/12/2017",169,"Serious",1,4
"110261962","-1.871156","54.730201",11,"27/12/2017",169,"Serious",1,4
"170H10987","-1.34561","54.639124",17,"30/11/2017",240,"Serious",1,4
"170H10997","-1.345518","54.639097",17,"30/11/2017",240,"Serious",1,4
"170L30017","-1.091704","54.617204",17,"02/01/2017",241,"Serious",1,4
"170S12347","-1.381373","54.55089",17,"30/11/2017",245,"Serious",1,4
"100016016","-1.51461","54.995617",10,"01/01/2016",148,"Serious",2,4
"100130190","-2.553752","55.20069",10,"23/11/2016",139,"Serious",1,4
"100130646","-2.41479","55.324907",10,"25/11/2016",139,"Serious",1,4
"110145682","-1.533419","54.852346",11,"22/12/2016",169,"Serious",8,4
"170M10346","-1.229691","54.546893",17,"11/02/2016",243,"Serious",1,4
