"accident_reference","longitude","latitude","police_force","date","local_authority_district","accident_severity","weather_conditions","road_surface_conditions","severity"
"100929083","-2.026679","55.025006","Northumbria Police","11/02/2020","Northumberland","Serious","Snowing and high winds.","Wet or Damp",2
"100929914","-1.611553","54.974023","Northumbria Police","12/02/2020","Newcastle upon Tyne","Slight","Snowing and high winds.","Wet or Damp",3
"100933183","-2.143474","55.041512","Northumbria Police","24/02/2020","Northumberland","Slight","Snowing no high winds.","Snow",3
"100933243","-1.604614","55.003117","Northumbria Police","24/02/2020","Newcastle upon Tyne","Slight","Snowing no high winds.","Snow",3
"100933285","-1.621872","55.041434","Northumbria Police","24/02/2020","North Tyneside","Slight","Snowing no high winds.","Snow",3
"100933556","-1.527834","54.995277","Northumbria Police","24/02/2020","North Tyneside","Slight","Snowing and high winds.","Frost or Ice",3
"100934621","-1.594526","55.084147","Northumbria Police","24/02/2020","Northumberland","Slight","Snowing no high winds.","Snow",3
"101010028","-1.414912","54.903243","Northumbria Police","24/12/2020","Sunderland","Serious","Snowing no high winds.","Wet or Damp",2
"101010210","-1.416845","54.973454","Northumbria Police","24/12/2020","South Tyneside","Slight","Snowing no high winds.","Wet or Damp",3
"101010256","-1.640553","54.950551","Northumbria Police","25/12/2020","Gateshead","Slight","Snowing no high winds.","Wet or Damp",3
"101010690","-1.436616","54.976162","Northumbria Police","24/12/2020","South Tyneside","Slight","Snowing no high winds.","Wet or Damp",3
"101011046","-1.637466","54.939578","Northumbria Police","30/12/2020","Gateshead","Slight","Snowing no high winds.","Frost or Ice",3
"101027173","-1.557521","55.129883","Northumbria Police","31/12/2020","Northumberland","Slight","Snowing no high winds.","Frost or Ice",3
"110933841","-1.435808","54.739096","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110933868","-1.588788","54.805725","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110937820","-1.766661","54.601069","Durham Constabulary","13/02/2020","County Durham","Serious","Snowing no high winds.","Snow",2
"110937937","-1.352805","54.788953","Durham Constabulary","24/02/2020","County Durham","Slight","Snowing and high winds.","Snow",3
"110937992","-1.518029","54.643706","Durham Constabulary","25/02/2020","County Durham","Slight","Snowing no high winds.","Snow",3
"110940865","-1.557927","54.523597","Durham Constabulary","29/02/2020","Darlington","Slight","Snowing and high winds.","Wet or Damp",3
"111010252","-1.429768","54.642667","Durham Constabulary","24/12/2020","County Durham","Serious","Snowing no high winds.","Snow",2
"111010847","-1.697707","54.867952","Durham Constabulary","24/12/2020","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"170H10160","-1.292209","54.702963","Cleveland Police","24/02/2020","Hartlepool","Slight","Snowing and high winds.","Snow",3
"100355217","-1.407386","54.852865","Northumbria Police","17/01/2019","Sunderland","Slight","Snowing and high winds.","Snow",3
"100812356","-1.402501","54.87253","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Snow",3
"100812389","-1.40708","54.897139","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100812507","-1.481281","54.995663","Northumbria Police","01/02/2019","North Tyneside","Slight","Snowing no high winds.","Frost or Ice",3
"100812524","-1.471635","54.840886","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing no high winds.","Frost or Ice",3
"100812633","-1.574205","55.07263","Northumbria Police","01/02/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100812939","-1.443723","54.891418","Northumbria Police","01/02/2019","Sunderland","Slight","Snowing and high winds.","Snow",3
"100823071","-1.63303","55.226119","Northumbria Police","02/02/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100823844","-1.612751","54.979437","Northumbria Police","16/03/2019","Newcastle upon Tyne","Slight","Snowing and high winds.","Wet or Damp",3
"100829141","-1.549317","55.043642","Northumbria Police","03/04/2019","North Tyneside","Slight","Snowing no high winds.","Frost or Ice",3
"100829258","-1.726679","55.278922","Northumbria Police","04/04/2019","Northumberland","Fatal","Snowing no high winds.","Frost or Ice",1
"100835037","-2.493224","54.938981","Northumbria Police","09/03/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"100835053","-2.269671","54.914728","Northumbria Police","01/02/2019","Northumberland","Serious","Snowing no high winds.","Snow",2
"100898405","-2.272321","54.891385","Northumbria Police","11/11/2019","Northumberland","Slight","Snowing no high winds.","Snow",3
"110812491","-1.576316","54.878211","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110813169","-1.357346","54.83496","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813176","-1.519016","54.823954","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110813202","-1.593998","54.79185","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813225","-1.364161","54.739074","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Snow",3
"110813237","-1.676877","54.656563","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Frost or Ice",3
"110813581","-1.569495","54.610784","Durham Constabulary","29/01/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"110813984","-1.608863","54.69523","Durham Constabulary","01/02/2019","County Durham","Slight","Snowing no high winds.","Wet or Damp",3
"170H10149","-1.221668","54.709253","Cleveland Police","01/02/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170H10199","-1.300712","54.646234","Cleveland Police","17/01/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170H10209","-1.221891","54.699207","Cleveland Police","01/02/2019","Hartlepool","Slight","Snowing no high winds.","Snow",3
"170L50139","-0.83535","54.56133","Cleveland Police","01/02/2019","Redcar and Cleveland","Serious","Snowing no high winds.","Snow",2
"170M10139","-1.27521","54.547309","Cleveland Police","31/01/2019","Middlesbrough","Slight","Snowing no high winds.","Wet or Damp",3
"170M10169","-1.270829","54.54855","Cleveland Police","01/02/2019","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170M20129","-1.195478","54.562749","Cleveland Police","01/02/2019","Middlesbrough","Slight","Snowing no high winds.","Snow",3
"170S30209","-1.290929","54.513628","Cleveland Police","01/02/2019","Stockton-on-Tees","Slight","Snowing no high winds.","Snow",3
"170S40179","-1.409046","54.520931","Cleveland Police","01/02/2019","Stockton-on-Tees","Slight","Snowing and high winds.","Snow",3
"100259031","-2.149609","55.709576","Northumbria Police","17/01/2018","Northumberland","Serious","Snowing no high winds.","Frost or Ice",2
"100259165","-2.065487","55.766651","Northumbria Police","16/01/2018","Northumberland","Serious","Snowing no high winds.","Snow",2
"100259171","-2.108978","54.992637","Northumbria Police","17/01/2018","Northumberland","Slight","Snowing and high winds.","Frost or Ice",3
"100259174","-1.853726","55.369463","Northumbria Police","16/01/2018","Northumberland","Slight","Snowing and high winds.","Frost or Ice",3
"100260129","-1.444413","54.863914","Northumbria Police","19/01/2018","Sunderland","Serious","Snowing no high winds.","Wet or Damp",2
"100260163","-2.109021","55.215613","Northumbria Police","16/01/2018","Northumberland","Serious","Snowing no high winds.","Snow",2
