Service,Force,Locality,Latitude,Longitude
Police Station ,Northumbria Police,"Alnwick Police Station Prudhoe Street Alnwick ,NE66 1UJ,United Kingdom",55.41040865,-1.704497272
Police Station ,Northumbria Police,"Ashington Police Station Lintonville Terrace Ashington,NE63 9JX,United Kingdom",55.18588898,-1.57115221
Police Station ,Northumbria Police,"Bedlington Police Station Schalksmuhle Road Bedlington,NE22 7LA,United Kingdom",55.1333349,-1.593075104
Police Station ,Northumbria Police,"Berwick Police Station Church Street Berwick upon Tweed,TD15 1DZ,United Kingdom",55.7699008,-2.0020312
Police Station ,Northumbria Police,"Blyth Police Station Bridge Street Blyth Northumberland,NE24 3AA,United Kingdom",55.12883692,-1.503907889
Police Station ,Northumbria Police,"Clifford Street Police Station Clifford Street Newcastle,NE6 1EA,United Kingdom",54.9760878,-1.583232049
Police Station ,Northumbria Police,"Cramlington Police Station Forum Way Cramlington Northumberland,NE23 6SB,United Kingdom",55.08561388,-1.590083912
Police Station ,Northumbria Police,"Etal Lane Police Station Etal Lane Westerhope Newcastle,NE5 4AW,United Kingdom",55.00051207,-1.680239662
Police Station ,Northumbria Police,"Farringdon Hall Police Station Primate Road Sunderland,SR3 1TQ,United Kingdom",54.88311372,-1.422798559
Police Station ,Northumbria Police,"Gateshead Police Station High West Street Gateshead,NE8 1BN,United Kingdom",54.95888465,-1.60107227
Police Station ,Northumbria Police,"Gillbridge Avenue Police Station Gillbridge Avenue Sunderland,SR1 3AW,United Kingdom",54.90761886,-1.388123517
Police Station ,Northumbria Police,"Hebburn Police Station Victoria Road East Hebburn,NE31 1YG,United Kingdom",54.97456341,-1.507692486
Police Station ,Northumbria Police,"Hexham Police Station Shaftoe Leazes Hexham Northumberland,NE46 3DG,United Kingdom",54.97066037,-2.112108093
Police Station ,Northumbria Police,"Houghton-le-Spring Police Station Dairy Lane Houghton le Spring,DH4 5BL,United Kingdom",54.84168557,-1.475080177
Police Station ,Northumbria Police,"Morpeth Police Station Castle Square Morpeth Northumberland,NE61 1YH,United Kingdom",55.16798557,-1.689022386
Police Station ,Northumbria Police,"North Shields Police Station Upper Pearson Street North Shields,NE30 1AB,United Kingdom",55.01071058,-1.442735419
Police Station ,Northumbria Police,"North Tyneside Area Command HQ Middle Engine Lane Wallsend Tyne and Wear,NE28 9NT,United Kingdom",55.01116123,-1.502765939
Police Station ,Northumbria Police,"Prudhoe Police Station Front Street Prudhoe,NE42 5HN,United Kingdom",54.96488255,-1.849844083
Police Station ,Northumbria Police,"South Shields Police Station Millbank Station Road South Shields,NE33 1RR,United Kingdom",54.99300459,-1.437116191
Police Station ,Northumbria Police,"Southwick Police Station Church Bank Southwick Sunderland ,SR5 2DU,United Kingdom",54.91918102,-1.405475009
